2500068	R0SAA	Evgeny
2500069	R0SM	Aleksandr
2500070	R0OR	Denis
2500071	UB0AJA	Roman
2500072	RA0WCT	Viacheslav
2500073	R0AABP	Evgeniy
2500074	UB0AZG	Denis
2500075	UB0ADW	Artem
2500076	R0FAG	
2500077	UB0AHM	Vladimir
2500078	R0BB	Club
2500079	R0BB	Club
2500080	R0BB	Club
2500081	R0BB	Club
2500082	R0BB	Club
2500083	RU0ACI	
2500084	UB0AJR	
2500085	UB0AJS	
2500086	UB0AJU	
2500087	UB0AJH	
2500088	UB0AJQ	
2500089	UB0AJG	
2500090	UB0AJP	
2500091	R0AHJ	Evgenii
2500092	UB0AAW	
2500093	UB0AJW	Ervin
2500094	R0FAL	Dima
2500095	UA0LGY	Victor
2500096	R0OAAA	Maxim
2500097	R0AHY	Mikhail
2500098	UB0AEW	Artem
2500099	UB0SAP	Oleg
2500100	R0OMV	Andrey
2500101	R0SAL	Aleksandr
2500102	R0OMX	
2500103	R0FAL	Dmitrij
2500104	RA0AGB	Sergej
2500105	RW0OMA	Mixail
2500106	R0AHI	Alexey
2500107	UB0ALO	Pavel
2500108	R0AHT	Alexsandr
2500109	R0ONH	Sergey
2500110	RA0SAB	Sergey
2500111	UA0LE	Vladimir
2500112	UD0LEF	Andrey
2500113	UB0AIB	Dmitry
2500114	R0AHZ	Eugene
2500115	UH0SAC	Andrey
2500116	RU0AAX	Dmitry
2500117	R0AEM	Vladimir
2500118	UB0OAJ	
2500119	UB0AGB	Roman
2500120	UA0AAX	Aiexey
2500121	R0AHP	Triton
2500122	UB0AIT	Alexandr
2500123	RD0F	Konstantin
2500124	UB0ALU	Pavel
2500125	UB0AEJ	DANIL
2500126	R0AABV	Nikolay
2500127	R0QAI	Vitaly
2500128	UA0LMC	Alex
2500129	R0ONG	Igor
2500130	R0CBR	Sabir
2500131	R0CCB	Maksim
2500132	R0CCL	Dmitry
2500133	R0CCS	Maxim
2500134	UB0ALZ	Danil
2500135	R0CCJ	Evgeniy
2500136	UA0LMC	Alex
2500137	R0CCG	Rim
2500138	UD0CAZ	
2500139	UB0AHT	Dmitry
2500140	UA0LID	Kirill
2500141	RA0LMH	Bogdan
2500142	RU0ALF	Alexandr
2500143	R0OMS	Sergey
2500144	UB0OMU	Vyacheslav
2500145	R0SCQ	Viktor
2500146	R0ONF	Alexey
2500147	R0CBV	Vladimir
2500148	R0ONI	Anatoliy
2500149	RA0LKG	
2500150	UA0AAB	Alexander
2500151	UA0AAB	Alexander
2500152	RA0ASM	Evgeniy
2500153	R0CDA	Alex
2500154	R0ONJ	Igor
2500155	R0CDI	
2500156	UB0AME	Ilya
2500157	UB0AZO	IVAN
2500158	UB0AMF	Dmitry
2500159	R0JAT	Airat
2500160	RV0ANZ	
2500161	R0BK	
2500162	UB0ALH	Dima
2500163	R0AIO	
2500164	RC0AO	Artyom
2500165	RZ0A	Vasilij
2500166	RU0AAZ	Andrey
2500167	R0JAH	Konstantin
2500168	R0AHV	Ilija
2500169	UA0LGC	Ivan
2500170	UA0LNJ	Andrey
2500171	RU0AHF	Vladimir
2500172	UB0AFW	Evgeniy
2500173	UB0AEH	Evgeniy
2500174	R0CBO	DENIS
2500175	R0AEA	Sergei
2500176	R0OMZ	Sergey
2500177	RA0LML	Igor
2500178	RZ0LWA	Primorye Club Station
2500179	UA0LTE	Yurij
2500180	UA0LAL	Aleksandr
2500181	UB0ACW	Vadim
2500182	UB0SNB	Yuriy
